Date,Description,Category,Amount
2025-01-15,Grocery Store - Fresh Mart,Food & Dining,-2500
2025-01-16,Uber Ride to Office,Transportation,-450
2025-01-17,Netflix Monthly Subscription,Entertainment,-799
2025-01-18,Salary Credit,Income,85000
2025-01-19,Electric Bill Payment,Utilities,-1850
2025-01-20,Coffee Shop - Cafe Central,Food & Dining,-380
2025-01-22,Petrol Pump - Shell,Transportation,-3200
2025-01-23,Online Shopping - Amazon,Shopping,-4500
2025-01-24,Restaurant Bill - Pizza Hut,Food & Dining,-1200
2025-01-25,Mobile Recharge,Utilities,-599
2025-01-26,Medical Checkup,Healthcare,-2800
2025-01-28,Gym Membership,Health & Fitness,-2000
2025-01-29,Movie Tickets - PVR,Entertainment,-800
2025-01-30,Grocery Store - Big Bazaar,Food & Dining,-3500
2025-02-01,Rent Payment,Housing,-25000
2025-02-02,Internet Bill,Utilities,-1299
2025-02-03,Freelance Income,Income,15000
2025-02-05,Gas Cylinder,Utilities,-950
2025-02-06,Book Purchase - Amazon,Education,-1200
2025-02-07,Pharmacy - Apollo,Healthcare,-650
2025-02-08,Auto Rickshaw,Transportation,-120
2025-02-09,Fast Food - McDonald's,Food & Dining,-580
2025-02-10,Online Course Subscription,Education,-2999
2025-02-12,Clothing Store - Zara,Shopping,-6500
2025-02-13,Barber Shop,Personal Care,-400
2025-02-14,Valentine's Day Dinner,Food & Dining,-2800
2025-02-15,Parking Fee,Transportation,-100
2025-02-16,Grocery Store - More,Food & Dining,-2200
2025-02-17,Investment - Mutual Fund,Investment,-10000
2025-02-18,Salary Credit,Income,85000
2025-02-19,Credit Card Payment,Finance,-15000
2025-02-20,ATM Withdrawal,Cash,-5000
2025-02-22,Dentist Appointment,Healthcare,-3500
2025-02-23,Spotify Premium,Entertainment,-119
2025-02-24,Vegetables Market,Food & Dining,-800
2025-02-25,Taxi Fare,Transportation,-350
2025-02-26,Electronics Store - Croma,Shopping,-8500
2025-02-27,Insurance Premium,Insurance,-4500
2025-02-28,Grocery Store - Reliance Fresh,Food & Dining,-1900
2025-03-01,Rent Payment,Housing,-25000
2025-03-02,Dividend Income,Income,2500
2025-03-03,Water Bill,Utilities,-450
2025-03-04,Lunch - Office Cafeteria,Food & Dining,-250
2025-03-05,Bus Pass,Transportation,-600
2025-03-06,Home Repair,Home Maintenance,-3200
2025-03-07,Online Shopping - Flipkart,Shopping,-2800
2025-03-08,Women's Day Gift,Gifts,-1500
2025-03-09,Grocery Store - Spencer's,Food & Dining,-2700
2025-03-10,Fuel - Petrol Pump,Transportation,-2800
2025-03-12,Restaurant - Domino's,Food & Dining,-950
2025-03-13,Salon Visit,Personal Care,-1200
2025-03-14,Medicine Purchase,Healthcare,-890
2025-03-15,Bank Charges,Finance,-350
2025-03-16,Online Shopping - Myntra,Shopping,-3400
2025-03-17,Movie Streaming - Prime Video,Entertainment,-329
2025-03-18,Salary Credit,Income,85000
2025-03-19,Grocery Shopping,Food & Dining,-3100
2025-03-20,Metro Card Recharge,Transportation,-500
2025-03-21,Birthday Party Expenses,Entertainment,-2500
2025-03-22,Vegetables & Fruits,Food & Dining,-650
2025-03-23,Software Subscription,Technology,-1999
2025-03-24,Coffee Meeting,Food & Dining,-400
2025-03-25,Charity Donation,Charity,-2000
2025-03-26,Grocery Store - DMart,Food & Dining,-2400
2025-03-27,Cab Ride,Transportation,-280
2025-03-28,Online Learning Platform,Education,-1500
2025-03-29,Fast Food - KFC,Food & Dining,-750
2025-03-30,Utility Bills - Electricity,Utilities,-2100
2025-03-31,Investment - SIP,Investment,-5000
2025-04-01,Rent Payment,Housing,-25000
2025-04-02,Bonus Credit,Income,25000
2025-04-03,Grocery Store - Food Bazaar,Food & Dining,-2800
2025-04-04,Petrol Station,Transportation,-3500
2025-04-05,Online Shopping - Ajio,Shopping,-4200
2025-04-06,Restaurant Dinner,Food & Dining,-1800
2025-04-07,Mobile Bill,Utilities,-899
2025-04-08,Gym Equipment,Health & Fitness,-3500
2025-04-09,Book Store,Education,-850
2025-04-10,Medical Tests,Healthcare,-4500
2025-04-11,Coffee Shop Chain,Food & Dining,-320
2025-04-12,Auto Insurance,Insurance,-8500
2025-04-13,Online Gaming,Entertainment,-500
2025-04-14,Grocery Shopping,Food & Dining,-2600
2025-04-15,Taxi Service,Transportation,-420
2025-04-16,Home Decoration,Shopping,-5500
2025-04-17,Internet Recharge,Utilities,-1599
2025-04-18,Salary Credit,Income,85000
2025-04-19,Fast Food Chain,Food & Dining,-680
2025-04-20,Parking Charges,Transportation,-150
2025-04-21,Online Course,Education,-3500
2025-04-22,Vegetables Market,Food & Dining,-750
2025-04-23,Electronics Purchase,Shopping,-12000
2025-04-24,Restaurant Bill,Food & Dining,-2200
2025-04-25,Fuel Station,Transportation,-2900
2025-04-26,Investment - Stocks,Investment,-15000
2025-04-27,Grocery Store,Food & Dining,-3200
2025-04-28,Medical Consultation,Healthcare,-1500
2025-04-29,Entertainment - Concert,Entertainment,-3000
2025-04-30,Monthly Savings,Investment,-20000
